"longitude","latitude","species"
"-53.772252","2.370351","Alopoglossus angulatus"
"-55.62973","2.46606","Alopoglossus angulatus"
"-56.19611111","-2.609444444","Alopoglossus angulatus"
"-53.23216667","-0.941666667","Alopoglossus angulatus"
"-53.22743333","-0.939866667","Alopoglossus angulatus"
"-53.9368","0.833283333","Alopoglossus angulatus"
"-56.15277778","-2.453055556","Alopoglossus angulatus"
"-56.24880556","-4.483333333","Alopoglossus angulatus"
"-50.48122222","-0.429944444","Alopoglossus angulatus"
"-50.48430556","-0.429666667","Alopoglossus angulatus"
"-50.47841667","-0.429944444","Alopoglossus angulatus"
"-50.49125833","-0.424919444","Alopoglossus angulatus"
"-51.77146667","-0.172083333","Alopoglossus angulatus"
"-52.7897222","3.0919444","Alopoglossus angulatus"
"-59.952284","-2.968948","Alopoglossus angulatus"
"-54.45005","2.23402","Alopoglossus angulatus"
"-59.970667","-2.933389","Alopoglossus angulatus"
"-59.976083","-2.932278","Alopoglossus angulatus"
"-53.77619","2.37986","Alopoglossus angulatus"
"-53.43138","3.73168","Alopoglossus angulatus"
"-59.855631","-3.353378","Alopoglossus angulatus"
"-53.04218","3.04715","Alopoglossus angulatus"
"-53.21884","3.58007","Alopoglossus angulatus"
"-55.441839","3.343669","Alopoglossus angulatus"
"-55.9833","-4.28333","Alopoglossus angulatus"
"-53.09611","3.0235","Alopoglossus angulatus"
