"model_group"	"lineage"	"latitude"	"longitude"	"Use"	"name"
"Alopoglossus_angulatus"	"Lineage_01"	2.370351	-53.772252	"1"	"Alop_BOHE010_ND4"
"Alopoglossus_angulatus"	"Lineage_01"	2.46606	-55.62973	"1"	"Alop_BPN2920_ND4"
"Alopoglossus_angulatus"	"Lineage_02"	-2.609444444	-56.19611111	"1"	"Alop_MPEG21853_ND4"
"Alopoglossus_angulatus"	"Lineage_03"	-0.941666667	-53.23216667	"1"	"Alop_MPEG27542_ND4"
"Alopoglossus_angulatus"	"Lineage_03"	-0.939866667	-53.22743333	"1"	"Alop_MPEG27543_ND4"
"Alopoglossus_angulatus"	"Lineage_04"	0.833283333	-53.9368	"1"	"Alop_MPEG27609_ND4"
"Alopoglossus_angulatus"	"Lineage_02"	-2.609444444	-56.19611111	"1"	"Alop_MPEG28239_ND4"
"Alopoglossus_angulatus"	"Lineage_05"	-2.453055556	-56.15277778	"1"	"Alop_MPEG28502_ND4"
"Alopoglossus_angulatus"	"Lineage_01"	-4.483333333	-56.24880556	"1"	"Alop_MPEG29468_ND4"
"Alopoglossus_angulatus"	"Lineage_06"	-0.429944444	-50.48122222	"1"	"Alop_MPEG29595_ND4"
"Alopoglossus_angulatus"	"Lineage_06"	-0.429666667	-50.48430556	"1"	"Alop_MPEG29596_ND4"
"Alopoglossus_angulatus"	"Lineage_06"	-0.429944444	-50.47841667	"1"	"Alop_MPEG29597_ND4"
"Alopoglossus_angulatus"	"Lineage_06"	-0.429944444	-50.47841667	"1"	"Alop_MPEG29598_ND4"
"Alopoglossus_angulatus"	"Lineage_04"	-0.429944444	-50.47841667	"1"	"Alop_MPEG29599_ND4"
"Alopoglossus_angulatus"	"Lineage_06"	-0.424919444	-50.49125833	"1"	"Alop_MPEG29601_ND4"
"Alopoglossus_angulatus"	"Lineage_06"	-0.429944444	-50.48122222	"1"	"Alop_MPEG29602_ND4"
"Alopoglossus_angulatus"	"Lineage_06"	-0.429944444	-50.48122222	"1"	"Alop_MPEG29603_ND4"
"Alopoglossus_angulatus"	"Lineage_06"	-0.429944444	-50.48122222	"1"	"Alop_MPEG29604_ND4"
"Alopoglossus_angulatus"	"Lineage_03"	-0.172083333	-51.77146667	"1"	"Alop_MPEG29762_ND4"
"Alopoglossus_angulatus"	"Lineage_01"	3.0919444	-52.7897222	"1"	"Alop_PG314_ND4"
"Alopoglossus_angulatus"	"Lineage_05"	-2.968948	-59.952284	"1"	"Alop_WER491_ND4"
